00000.png,-62.0652,-53.6422,69.6681,1,0,-0
00001.png,-62.0652,-38.6422,69.6681,1,0,-0
00002.png,-52.4782,-18.5088,58.1051,0.939693,0,-0.34202
00003.png,-52.5493,-6.92376,58.9673,0.939693,0,-0.34202
00004.png,-52.7358,3.94332,57.8725,0.939693,0,-0.34202
00005.png,-50.8856,18.8593,59.9194,0.766044,0,-0.642788
00006.png,-62.0652,36.3578,69.6681,1,0,-0
00007.png,-62.0652,51.3578,69.6681,1,0,-0
00008.png,-62.0652,66.3578,69.6681,1,0,-0
00009.png,-47.0652,-53.6422,69.6681,1,0,-0
00010.png,-43.9525,-40.6641,66.9898,0.76508,0.545596,-0.34202
00011.png,-38.8272,-20.2878,58.6127,0.766044,0,-0.642788
00012.png,-46.4243,-6.96951,65.4637,0.766044,0,-0.642788
00013.png,-48.8606,14.8009,62.5244,0.766044,0,-0.642788
00014.png,-40.2821,16.4379,59.3615,0.5,0,-0.866025
00015.png,-40.0973,31.1498,59.7626,0.373207,-0.668985,-0.642788
00016.png,-47.0652,51.3578,69.6681,1,0,-0
00017.png,-47.0652,66.3578,69.6681,1,0,-0
00018.png,-32.0652,-53.6422,69.6681,1,0,-0
00019.png,-34.5286,-38.4192,69.7636,0.623699,0.444774,-0.642788
00020.png,-26.6775,-20.2341,58.0362,0.766044,0,-0.642788
00021.png,-33.7176,-7.78452,67.8946,0.766044,0,-0.642788
00022.png,-33.3414,9.48031,68.7267,0.939693,0,-0.34202
00023.png,-30.6329,17.3122,66.9795,0.5,0,-0.866025
00024.png,-30.9062,33.5508,70.355,0.939693,0,-0.34202
00025.png,-29.383,52.8217,67.3765,0.457807,-0.820631,-0.34202
00026.png,-32.0652,66.3578,69.6681,1,0,-0
00027.png,-17.0652,-53.6422,69.6681,1,0,-0
00028.png,-19.6672,-40.0083,67.1006,0.249563,0.724253,-0.642788
00029.png,-12.8883,-23.9144,68.4176,0.766044,0,-0.642788
00030.png,-17.0652,-8.64222,69.6681,0.76508,0.545596,-0.34202
00031.png,-15.5142,6.05605,58.7599,0.939693,0,-0.34202
00032.png,-18.5606,20.4573,67.7762,0.939693,0,-0.34202
00033.png,-14.9724,30.5036,66.7419,0.939693,0,-0.34202
00034.png,-16.0458,50.614,66.9122,0.457807,-0.820631,-0.34202
00035.png,-15.2598,55.9386,57.9714,0.457807,-0.820631,-0.34202
00036.png,-2.60803,-44.8793,58.9743,0.623699,0.444774,-0.642788
00037.png,-2.34393,-31.9137,58.745,-0.510904,0.57079,-0.642788
00038.png,-4.30871,-21.9087,67.6392,0.306134,0.888428,-0.34202
00039.png,-2.0652,-8.64222,69.6681,0.162891,0.472723,-0.866025
00040.png,-2.36125,5.35223,59.5763,-0.510904,0.57079,-0.642788
00041.png,-6.99748,16.3254,70.0217,0.766044,0,-0.642788
00042.png,0.0520616,37.794,66.238,-0.0845615,-0.761363,-0.642788
00043.png,-0.18678,41.4354,57.5195,-0.0845615,-0.761363,-0.642788
00044.png,-0.630818,56.8679,57.6288,-0.10373,-0.93395,-0.34202
00045.png,9.19848,-48.7745,69.4353,-0.510904,0.57079,-0.642788
00046.png,11.9503,-32.7143,58.704,-0.510904,0.57079,-0.642788
00047.png,14.6928,-18.1315,62.9322,0.306134,0.888428,-0.34202
00048.png,13.0079,-7.26941,68.4527,0.623699,0.444774,-0.642788
00049.png,19.0056,9.73593,67.267,0.5,0,-0.866025
00050.png,13.7571,17.9904,63.4507,-0.0845615,-0.761363,-0.642788
00051.png,15.7845,34.6229,66.8731,-0.0191685,-0.172587,-0.984808
00052.png,10.8711,49.2842,67.0626,-0.0845615,-0.761363,-0.642788
00053.png,9.47273,55.0983,58.6006,-0.10373,-0.93395,-0.34202
00054.png,23.4275,-45.7133,58.8448,-0.510904,0.57079,-0.642788
00055.png,30.8224,-45.0179,64.1242,-0.333469,0.372557,-0.866025
00056.png,27.9348,-23.6422,69.6681,-0.333469,0.372557,-0.866025
00057.png,27.9348,-8.64222,69.6681,-0.333469,0.372557,-0.866025
00058.png,28.5093,9.17844,70.6789,-0.333469,0.372557,-0.866025
00059.png,27.9348,21.3578,69.6681,-0.169416,0.0381028,-0.984808
00060.png,27.9348,36.3578,69.6681,-0.0845615,-0.761363,-0.642788
00061.png,24.863,53.2735,63.9878,-0.0845615,-0.761363,-0.642788
00062.png,23.8188,53.9021,59.6914,-0.10373,-0.93395,-0.34202
00063.png,42.9348,-53.6422,69.6681,1,0,-0
00064.png,34.4771,-31.8109,59.057,-0.510904,0.57079,-0.642788
00065.png,35.6992,-19.0258,58.2652,-0.747375,0.168089,-0.642788
00066.png,42.4112,-11.007,68.7474,-0.510904,0.57079,-0.642788
00067.png,42.3833,3.7632,68.6249,-0.510904,0.57079,-0.642788
00068.png,45.6551,21.3472,66.876,-0.747375,0.168089,-0.642788
00069.png,42.542,34.364,68.4402,-0.706093,-0.297079,-0.642788
00070.png,42.9348,51.3578,69.6681,-0.0845615,-0.761363,-0.642788
00071.png,39.5727,57.6218,64.8404,-0.10373,-0.93395,-0.34202
